latency_p99_ms,error_rate_percent,requests_per_second,latency_ratio,concurrent_requests
136.46,1.3,46.22,1.53,2
156.17,0.98,9.11,1.83,2
118.53,0.21,12.24,1.94,2
114.59,1.89,41.61,2.19,2
90.57,0.5,10.22,2.59,1
158.92,1.09,23.6,1.54,2
154.72,1.0,24.89,1.29,2
145.91,1.86,24.72,2.46,1
83.46,1.26,40.97,2.48,2
146.1,1.1,9.19,2.99,1
135.37,0.23,42.45,2.1,2
141.06,0.55,42.56,2.96,1
134.81,0.29,13.58,2.28,1
183.68,0.55,40.55,1.95,2
178.47,0.57,18.44,2.26,2
183.83,0.89,26.8,1.8,2
134.64,0.64,13.49,2.46,2
108.03,1.55,6.96,2.54,2
126.33,1.33,41.93,2.97,2
195.78,0.25,48.44,1.8,1
184.9,0.88,28.67,2.02,1
129.2,1.31,11.95,2.05,2
120.63,1.39,34.24,2.73,2
194.5,1.25,44.93,2.08,1
154.1,0.47,35.8,1.72,1
169.61,0.87,9.43,2.34,1
133.24,1.39,45.65,1.28,1
115.2,0.75,11.55,2.16,1
100.4,0.16,44.19,2.32,1
139.72,1.17,15.45,2.35,2
110.64,0.02,41.21,2.82,1
88.86,1.89,49.44,1.74,2
162.84,0.91,18.6,3.0,2
92.8,0.76,21.15,1.73,2
82.63,1.66,22.81,1.21,1
189.27,1.49,42.48,2.83,1
152.85,0.7,33.65,2.32,1
155.39,1.81,34.09,1.76,2
84.0,0.73,10.91,2.84,2
169.7,0.35,10.95,2.17,2
143.7,1.83,42.37,1.66,2
196.09,0.59,44.17,2.65,2
195.55,0.28,48.49,2.75,2
196.07,1.61,21.46,2.62,1
111.74,0.25,21.59,2.55,2
150.15,1.64,47.31,1.4,1
136.58,1.24,47.44,1.79,1
157.72,1.27,25.89,2.46,2
94.0,0.09,6.67,2.99,1
91.66,1.77,11.1,2.02,2
150.48,1.45,44.84,2.38,2
153.88,1.88,17.59,2.44,1
133.21,1.9,43.5,1.38,2
145.34,1.96,21.14,1.92,1
196.18,1.9,42.09,1.37,1
157.0,1.19,5.96,2.62,1
198.66,1.57,14.23,2.69,1
150.37,1.63,15.48,2.59,1
113.27,1.97,49.44,2.17,1
93.19,1.73,10.93,1.84,1
150.66,0.03,16.94,1.43,2
143.13,1.49,26.43,2.6,1
134.24,0.44,32.68,2.51,2
134.97,1.93,7.74,2.06,2
131.15,0.22,37.06,2.0,1
118.65,0.3,10.68,2.32,2
125.71,1.19,18.27,2.11,2
91.9,1.4,43.38,2.37,1
131.61,1.78,23.62,2.69,2
129.92,0.19,24.2,2.4,2
194.43,1.37,26.34,1.36,1
91.19,0.19,38.25,2.66,1
150.38,1.12,19.83,1.42,2
184.83,1.88,24.03,2.85,1
196.21,1.2,20.82,2.24,1
98.57,0.96,43.13,1.83,2
93.79,0.56,15.18,1.97,1
153.08,1.32,36.21,1.25,2
164.32,0.62,20.29,1.21,1
147.96,0.8,11.38,2.34,1
91.01,1.06,21.93,2.02,1
124.41,1.44,39.96,2.22,1
186.0,0.31,38.95,1.29,1
112.65,1.32,26.85,2.0,2
105.87,1.02,20.53,1.4,2
143.23,0.62,14.92,2.97,1
80.92,0.6,14.51,1.45,2
114.73,0.24,27.38,1.98,1
125.62,1.41,27.51,2.7,2
88.65,1.72,6.9,1.23,1
183.45,1.15,30.8,2.48,2
114.74,0.81,48.48,1.51,2
179.84,1.84,8.97,2.72,1
132.28,0.8,8.54,2.77,2
106.59,1.56,8.44,2.34,1
188.71,0.7,37.73,2.67,1
108.35,0.29,13.88,2.28,1
101.26,1.55,27.24,2.56,2
161.74,1.76,33.93,2.98,2
183.71,1.25,11.79,1.32,2
155.77,1.59,31.61,1.83,1
117.25,0.9,7.56,2.7,1
157.36,1.95,9.06,2.27,2
135.53,1.11,40.63,2.81,2
189.09,1.14,13.47,2.29,1
194.93,0.9,41.49,2.71,1
140.55,0.35,16.15,1.99,2
142.89,1.22,21.38,2.85,2
129.05,0.68,31.9,2.62,2
87.91,0.19,35.53,1.71,1
120.0,1.17,11.36,1.83,2
95.47,1.42,8.81,2.21,2
177.58,1.34,42.3,2.53,1
157.52,0.85,21.28,1.85,1
194.14,0.68,39.48,1.55,1
98.59,0.59,40.47,2.11,1
159.43,1.75,32.81,2.28,1
99.47,1.66,39.7,2.66,1
166.54,0.09,21.39,2.5,2
153.27,1.5,40.27,1.62,1
117.14,1.62,26.11,2.7,2
161.4,1.14,24.83,2.58,2
140.35,0.84,12.29,1.56,1
184.76,0.1,26.63,1.87,1
165.37,1.03,10.61,1.35,1
112.73,1.81,11.63,1.99,1
178.0,1.77,46.87,1.95,2
140.24,0.47,49.75,1.87,1
118.24,0.2,37.16,1.8,1
96.51,0.57,42.34,2.45,1
171.06,0.94,32.69,2.83,1
110.71,1.67,29.7,2.51,2
93.34,0.58,18.55,1.29,2
156.67,1.25,7.83,2.71,2
151.61,0.03,28.19,1.64,1
114.95,0.0,20.88,2.23,1
159.72,0.17,48.86,1.32,1
126.85,0.94,33.61,2.97,2
169.68,0.71,8.04,1.63,1
172.58,1.47,19.96,1.28,2
177.62,0.35,40.06,2.04,2
155.81,1.62,7.84,2.6,2
84.44,0.4,40.6,2.79,2
192.0,1.03,49.51,2.18,2
84.39,1.29,17.87,2.75,1
183.9,0.66,10.6,1.86,2
169.2,1.79,22.4,2.95,2
163.05,0.73,40.88,1.68,1
167.25,0.16,32.11,2.68,2
118.55,0.16,34.74,1.75,2
100.0,0.89,25.12,2.51,2
153.78,0.87,33.78,2.62,1
89.0,1.28,21.35,2.64,1
194.33,0.29,32.34,2.61,1
95.15,0.47,34.03,1.85,1
152.61,1.36,47.7,1.87,1
148.87,1.06,22.91,2.37,1
195.26,0.05,13.37,2.13,1
111.41,0.52,25.08,2.99,2
163.28,2.0,14.01,1.44,1
134.25,1.8,25.03,1.36,2
160.14,1.42,29.75,1.72,2
182.16,1.42,46.73,2.35,2
141.05,0.24,14.04,1.45,2
83.15,1.11,21.6,2.65,1
153.43,0.17,18.92,3.0,2
143.08,1.54,42.05,1.33,2
157.08,0.9,35.6,1.82,1
172.13,0.26,27.63,2.76,1
142.17,0.61,12.29,2.88,1
121.52,1.88,45.27,2.72,2
103.56,1.91,17.35,2.33,1
140.31,0.34,47.37,1.48,2
181.1,1.13,42.14,1.25,1
193.83,1.54,16.91,1.58,2
154.17,0.06,45.0,2.18,2
137.95,1.61,35.82,1.74,1
162.63,0.32,23.7,2.04,2
152.8,0.63,37.33,2.52,2
197.04,0.26,21.67,2.21,2
109.01,0.25,25.23,1.45,1
114.83,0.77,32.69,1.65,1
177.62,1.87,37.45,1.54,1
139.79,1.03,27.44,1.76,1
90.81,0.79,25.58,1.63,2
85.84,0.56,31.89,2.72,2
114.29,0.02,9.84,1.44,2
167.3,1.53,21.47,1.92,1
123.5,0.58,22.39,2.01,2
179.04,1.25,32.5,1.43,1
127.27,1.59,20.26,2.89,1
103.89,1.02,27.5,1.28,1
165.63,1.61,28.37,1.47,1
119.36,1.23,12.31,2.98,2
151.25,1.01,27.94,2.08,2
136.99,0.03,19.91,1.4,2
150.04,1.59,37.64,2.44,1
151.63,0.53,34.5,2.95,1
166.57,1.17,12.67,2.33,2
97.73,1.36,6.42,2.91,1
102.89,0.88,23.85,1.94,1
129.25,1.55,46.42,2.77,1
164.69,1.04,30.24,3.0,2
143.06,0.63,12.79,2.84,2
145.55,1.35,44.04,2.43,2
153.21,0.38,16.09,2.2,1
192.98,1.96,39.7,2.47,2
118.04,0.7,47.02,2.63,2
114.53,1.15,29.44,2.81,2
178.21,1.91,41.21,1.72,2
194.64,0.16,46.58,2.38,2
105.68,1.66,17.2,2.21,2
96.47,1.23,31.41,1.64,1
156.55,0.1,23.6,2.49,1
161.74,0.27,48.4,2.96,1
128.83,1.87,44.53,2.06,1
170.71,0.57,17.84,1.31,1
158.28,0.46,38.24,2.73,1
189.59,0.35,44.7,1.52,1
199.66,0.79,27.29,2.89,2
185.21,0.02,30.56,1.39,2
114.15,1.98,29.45,2.09,1
182.13,0.94,13.68,1.4,1
167.73,1.3,37.34,1.23,2
174.89,1.14,39.08,1.52,2
179.24,1.03,8.9,2.4,1
197.8,0.95,47.11,1.21,2
108.26,1.51,47.93,1.74,1
111.39,0.72,15.63,2.4,2
116.82,0.81,27.61,2.81,2
162.83,1.28,47.33,1.86,1
106.3,0.27,11.89,2.55,2
129.9,1.1,26.19,2.17,1
171.42,1.36,31.81,2.62,2
143.38,0.72,46.28,1.4,1
148.72,0.3,19.77,2.14,1
161.64,1.43,27.0,2.82,2
177.04,0.91,28.1,2.02,1
147.06,1.35,18.87,1.24,2
177.97,1.49,31.02,1.28,2
164.05,1.08,7.71,2.81,2
83.81,0.82,39.6,2.58,2
124.94,1.78,25.18,2.85,2
125.08,1.37,34.78,2.17,2
94.24,1.99,22.69,1.43,1
180.18,1.51,49.03,2.03,2
143.83,1.65,16.14,1.82,2
102.62,1.75,39.45,1.26,2
153.79,1.87,45.01,1.63,1
92.11,0.07,31.9,2.47,1
109.37,0.09,24.75,2.17,1
96.82,1.99,15.54,2.85,2
149.3,1.55,41.83,1.63,1
198.28,1.04,23.61,1.7,1
155.12,0.85,27.3,2.95,2
174.3,0.64,23.73,1.47,2
102.07,1.08,15.84,1.61,1
176.69,1.83,30.31,2.94,1
126.61,0.51,19.86,1.34,2
181.66,0.18,37.61,1.54,2
125.26,1.21,6.78,1.33,1
137.53,1.74,19.98,2.92,1
105.42,0.38,38.37,2.54,2
189.73,1.39,36.67,1.91,1
146.25,1.55,22.13,2.16,2
117.01,0.72,44.73,2.04,2
171.4,0.64,14.14,1.76,1
147.5,0.44,11.57,1.67,2
115.42,0.39,15.35,2.23,1
139.92,1.31,35.82,1.66,2
195.98,1.28,27.08,1.5,2
100.31,1.44,26.97,2.85,1
142.87,1.68,8.34,2.67,1
171.72,0.82,42.91,1.62,1
81.1,1.01,21.79,2.31,2
159.11,0.03,28.95,1.94,1
143.53,0.55,48.99,1.23,2
176.74,1.82,9.82,1.37,1
108.92,1.24,16.36,1.84,2
89.48,1.92,25.65,1.64,1
116.0,1.66,8.63,2.99,1
91.22,0.76,29.87,1.3,1
164.34,0.17,43.04,2.36,2
147.9,1.72,9.29,2.15,1
107.57,1.8,36.15,2.22,2
85.59,0.15,46.65,2.82,1
101.52,1.7,5.7,1.57,1
170.27,1.43,22.92,1.34,1
147.67,1.13,43.22,2.42,2
126.06,1.48,40.57,2.44,1
140.1,1.95,7.42,1.99,1
120.87,1.54,47.97,1.91,2
83.56,0.55,49.67,2.08,2
146.36,0.75,13.36,2.25,2
90.28,1.24,40.91,2.48,1
112.16,0.76,40.28,1.48,2
118.0,0.21,5.23,1.75,2
171.36,0.2,8.93,1.98,2
92.4,0.18,29.94,2.27,2
183.65,0.02,23.62,2.6,1
148.64,0.34,22.13,1.45,2
112.21,0.29,12.52,1.7,2
138.11,0.15,16.33,1.64,2
151.26,0.39,9.81,1.75,2
119.87,1.24,41.18,1.79,2
131.67,1.65,34.3,2.27,2
118.48,1.89,14.04,1.77,2
196.25,0.58,36.27,2.08,1
119.11,0.56,40.36,1.86,1
151.07,1.09,35.68,2.19,2
193.16,0.42,40.9,2.7,1
178.28,1.59,23.41,2.1,2
109.04,1.32,37.19,2.62,1
133.89,1.2,31.2,2.16,2
145.24,1.58,21.18,2.81,1
93.12,0.5,34.91,1.5,1
147.59,1.29,34.1,2.94,2
195.89,0.86,5.47,1.67,1
133.49,0.78,39.76,2.26,1
121.4,0.05,9.7,1.95,1
93.93,1.88,11.38,1.76,2
174.11,1.04,20.67,1.38,2
118.27,0.6,41.46,1.41,2
157.76,1.35,12.4,2.97,1
141.92,1.1,19.89,1.97,2
107.82,0.81,13.3,2.35,2
127.47,1.47,44.74,2.01,2
126.66,1.41,14.26,2.55,1
149.28,1.6,29.16,1.86,1
134.91,0.52,43.82,2.15,2
151.64,1.22,31.42,1.83,2
154.08,1.63,36.77,1.74,1
160.65,0.63,15.74,1.41,2
163.21,1.02,23.82,1.45,2
130.76,0.97,29.18,2.85,1
146.59,0.98,11.31,1.77,2
154.33,1.73,47.83,2.07,1
177.83,1.93,27.74,2.09,2
129.88,1.68,26.99,1.35,1
175.51,0.44,6.47,1.6,2
100.19,0.91,38.41,2.58,1
148.73,0.54,29.44,2.98,1
171.2,0.88,14.83,1.97,1
115.73,2.0,25.24,1.83,1
132.69,1.99,39.9,1.63,2
183.33,1.22,24.27,2.31,1
177.62,1.61,30.65,2.16,1
118.84,1.41,18.02,1.68,1
96.27,1.5,23.52,1.31,2
184.05,0.25,43.97,1.65,2
179.42,1.52,35.43,2.08,2
155.34,0.75,8.4,2.63,1
128.34,1.5,36.26,2.78,2
194.03,0.65,5.11,2.59,1
167.71,0.92,34.89,1.84,1
175.48,0.8,48.57,2.68,2
112.22,1.66,20.2,2.24,2
174.6,1.79,39.3,1.28,2
81.95,1.86,12.11,2.02,2
104.28,1.38,10.94,2.37,1
184.93,1.75,9.2,1.85,1
124.62,1.81,12.45,1.91,2
167.12,1.51,24.32,1.36,1
80.13,0.95,10.97,1.61,2
81.11,1.39,41.77,2.98,2
163.28,0.96,15.3,1.36,1
92.38,0.74,18.47,1.89,1
156.99,1.35,8.08,2.21,1
132.81,1.44,33.26,1.47,2
153.93,0.88,14.78,2.81,1
170.29,1.18,22.28,2.93,2
174.93,0.5,34.01,1.65,2
173.48,1.38,43.16,2.39,2
104.65,1.21,13.49,1.91,1
174.06,1.59,15.77,1.89,1
139.95,1.19,28.77,2.96,2
192.07,0.26,43.74,2.22,2
145.56,0.35,26.2,2.98,1
82.0,0.14,16.8,1.27,1
193.84,0.8,17.89,2.48,2
130.83,0.8,33.82,2.17,1
113.3,0.62,28.01,1.57,1
144.37,0.78,33.54,2.7,1
117.22,0.87,47.9,1.63,1
90.35,0.87,25.4,2.3,2
159.93,1.32,12.9,1.22,1
164.18,0.33,47.89,2.14,2
100.04,0.25,40.15,1.68,1
172.57,0.06,41.32,1.69,1
111.55,1.95,33.24,2.09,2
86.65,1.72,12.51,1.48,1
187.31,1.35,10.19,2.53,1
85.28,1.73,16.0,2.05,2
190.43,0.36,48.22,1.26,2
106.94,0.5,46.21,1.78,1
148.58,0.24,35.3,1.29,1
176.52,1.96,47.93,1.32,2
183.92,1.55,18.98,1.36,2
80.96,0.4,30.37,1.75,1
135.67,1.18,27.2,2.59,1
167.9,1.09,40.82,1.47,2
82.87,1.08,33.62,2.45,1
194.12,0.0,34.58,2.73,2
92.47,1.06,15.72,2.09,1
196.71,0.28,17.59,1.28,1
187.67,1.04,36.54,1.87,1
149.69,1.01,33.67,1.91,1
132.2,1.93,15.65,1.67,2
191.13,0.79,42.44,1.79,2
112.63,0.15,14.12,2.6,1
98.65,0.33,25.97,1.93,2
195.76,0.42,18.87,1.68,1
90.85,1.62,18.69,2.47,1
105.8,1.71,11.67,2.48,2
127.55,0.1,18.45,2.68,1
83.73,0.81,25.35,2.55,1
91.37,0.2,40.72,1.42,1
179.64,1.97,10.88,2.68,2
162.35,1.88,8.78,2.26,1
82.62,0.13,45.61,2.0,1
91.04,1.69,41.4,1.42,2
86.08,1.85,24.49,2.5,2
83.54,1.37,12.78,1.59,1
113.0,0.89,11.69,2.31,1
157.67,1.0,44.73,2.06,1
113.57,0.27,13.98,2.79,1
155.69,1.6,40.77,2.98,2
137.56,1.56,20.48,2.22,2
126.61,0.36,19.35,1.59,2
87.03,1.98,28.82,2.58,1
196.88,0.2,34.56,1.68,1
171.69,1.9,30.91,2.97,2
122.58,1.68,43.03,1.52,2
176.75,1.4,46.13,1.25,2
193.71,1.13,30.34,1.54,2
145.05,0.35,6.71,1.3,1
82.39,0.96,19.93,2.31,1
120.89,0.35,41.11,2.76,1
82.63,1.17,46.28,2.59,2
195.27,0.75,47.39,1.91,1
120.39,0.65,48.91,2.52,2
175.02,1.92,34.21,1.51,2
106.79,1.18,12.89,1.75,2
95.28,1.46,47.7,2.91,2
182.09,1.54,30.54,1.53,2
190.52,1.94,14.94,2.22,2
96.88,1.49,15.71,2.97,1
156.34,1.93,41.97,2.41,2
133.6,0.53,16.23,1.32,2
174.44,1.44,7.17,1.99,2
196.29,1.77,27.19,1.88,2
92.17,0.96,43.88,2.37,1
99.52,0.15,43.06,1.73,2
111.34,0.21,20.38,2.8,1
167.84,1.09,45.42,1.37,2
164.54,0.86,34.41,2.29,2
98.85,0.2,14.25,1.54,2
159.27,0.59,9.32,1.91,2
98.43,0.72,24.24,1.73,2
103.96,0.05,12.69,1.73,1
136.83,0.23,40.32,2.05,2
90.94,1.09,13.32,2.79,2
102.39,0.09,24.79,1.67,2
147.71,0.3,36.34,1.37,2
176.98,0.83,39.04,1.61,1
180.9,1.64,23.84,2.16,2
148.73,0.47,18.45,1.91,1
140.25,1.8,41.02,2.42,1
94.43,1.51,12.78,2.97,1
177.02,0.25,24.05,2.98,2
104.23,1.65,11.65,2.27,2
189.3,1.83,8.02,1.9,2
146.25,1.71,28.39,2.85,1
174.39,1.25,28.52,1.96,2
97.96,1.13,31.22,2.94,1
190.99,1.13,9.54,1.71,2
185.35,0.53,34.47,2.23,2
84.5,0.55,11.47,2.3,2
84.65,1.78,19.92,1.63,2
190.5,1.79,5.91,2.67,2
117.31,1.69,43.62,2.43,1
96.13,1.95,24.94,2.69,2
167.46,1.21,9.02,2.0,2
168.91,1.52,44.02,2.68,1
87.87,1.42,23.15,2.6,1
100.85,1.75,14.03,1.3,1
134.77,1.84,36.71,1.69,2
140.62,1.27,10.57,1.26,2
138.65,0.89,48.22,2.05,2
121.31,1.68,16.64,2.7,1
114.21,0.77,12.33,2.23,1
182.85,1.29,35.5,1.68,2
141.59,1.73,48.52,2.43,2
189.38,1.29,32.05,1.22,2
153.0,1.89,37.07,2.48,2
130.86,0.75,20.69,1.65,2
116.26,1.04,33.06,2.25,1
141.38,1.32,42.95,1.87,2
115.82,0.22,7.87,2.98,2
183.38,0.52,37.0,2.81,2
102.6,1.03,15.81,1.3,2
159.26,1.36,37.46,2.38,2
111.13,0.84,22.47,1.26,1
121.18,1.43,35.88,2.35,2
188.78,1.34,27.83,2.72,1
115.25,0.94,38.34,2.51,1
193.63,1.8,34.45,1.6,1
169.31,0.61,40.46,1.8,2
150.27,0.93,10.3,1.3,1
136.67,0.39,10.39,2.43,2
129.57,1.74,11.79,2.99,2
129.1,1.14,45.8,2.02,2
183.49,0.36,8.64,1.8,1
117.61,0.12,25.34,1.58,1
149.15,0.32,40.33,2.6,1
153.74,1.27,23.15,2.94,2
80.56,1.07,37.88,2.91,2
170.82,1.06,5.81,1.21,1
107.15,1.75,19.04,1.38,2
100.04,1.65,18.42,1.72,2
132.04,1.37,11.02,2.99,2
123.11,0.38,47.66,2.85,2
82.29,0.45,49.32,1.58,1
150.76,0.34,21.5,2.37,1
125.02,1.28,39.71,2.32,1
159.44,1.31,5.89,2.44,2
133.32,0.25,16.37,2.46,1
163.42,1.26,18.55,2.39,2
154.74,1.4,23.85,2.82,1
113.92,1.57,27.4,2.3,2
179.78,1.95,21.11,1.94,1
84.73,0.99,14.35,2.88,2
108.14,0.03,9.01,1.4,2
97.9,0.18,28.03,2.5,1
188.57,1.29,25.55,2.96,2
135.71,0.2,12.86,1.27,2
123.23,1.35,24.17,1.41,1
81.16,0.28,34.12,1.79,2
194.61,0.54,37.99,1.87,2
101.94,0.8,48.3,1.69,2
162.79,0.96,23.98,2.8,1
93.57,1.39,7.64,2.9,1
92.45,1.82,26.72,2.22,2
101.75,0.76,21.14,1.25,1
137.97,0.98,44.94,1.99,1
111.39,0.63,36.71,2.42,1
197.35,1.34,20.22,2.14,1
131.94,1.45,26.69,2.39,2
97.84,1.65,45.14,2.3,1
157.21,0.31,43.2,2.73,1
88.98,0.98,15.84,2.95,1
140.83,1.1,22.04,2.67,1
135.09,1.6,25.16,2.74,2
117.93,1.96,38.54,1.23,2
129.48,1.11,5.01,1.36,2
186.81,1.12,34.46,2.02,2
123.6,0.11,15.03,2.02,2
166.0,0.73,25.36,1.38,1
80.26,0.71,33.51,2.64,2
164.25,0.09,12.39,1.45,2
92.84,1.22,13.44,2.87,2
105.87,1.65,13.58,1.81,2
85.58,1.27,35.25,1.42,2
134.89,1.18,27.69,2.93,1
143.64,0.1,47.09,2.71,2
190.92,1.56,45.96,2.45,1
167.66,0.26,22.43,2.28,2
140.49,0.77,49.08,2.85,1
112.83,1.93,48.67,2.02,1
96.58,1.21,44.89,2.12,2
165.42,1.87,33.47,1.56,2
162.39,1.84,10.97,2.48,1
140.47,1.39,19.51,1.41,2
147.47,1.17,47.42,2.48,2
185.3,0.84,5.57,1.39,2
97.44,1.34,14.0,2.55,1
198.02,1.37,11.59,1.31,2
104.48,1.08,21.14,2.01,1
169.09,1.12,15.69,2.61,2
163.15,0.09,22.17,1.95,2
195.9,0.11,38.47,1.57,2
179.6,1.82,36.71,2.37,1
173.14,1.93,18.24,1.52,1
102.44,0.35,28.12,1.88,2
113.49,0.53,12.24,2.72,1
119.67,1.42,11.97,1.48,2
151.63,1.55,33.14,2.72,2
138.87,1.15,21.11,2.61,2
143.05,1.91,28.43,2.62,1
129.91,1.07,9.14,1.6,1
159.6,0.66,18.21,2.91,2
199.6,1.65,49.15,1.22,2
133.48,1.81,32.62,2.32,1
161.91,0.64,46.22,2.9,2
110.79,1.45,6.11,2.13,2
141.72,1.02,26.91,1.73,1
118.44,0.16,9.32,2.95,1
155.23,0.42,33.33,1.58,2
180.28,0.41,42.29,2.78,2
157.59,1.88,38.61,1.48,2
166.02,0.08,8.3,1.52,2
146.97,1.15,15.24,1.67,2
134.14,0.81,19.24,1.9,1
144.18,1.28,32.83,2.56,1
164.11,0.15,46.76,1.39,2
152.79,0.56,46.7,1.89,1
136.88,1.07,11.14,1.9,2
195.22,0.29,35.48,2.85,2
194.89,0.02,44.36,1.45,1
80.6,1.19,29.17,2.9,2
105.21,1.48,37.67,1.58,1
99.31,0.44,42.56,1.55,1
160.52,1.13,7.45,2.55,2
157.36,0.15,35.23,1.65,1
167.07,0.97,19.89,1.43,1
92.01,1.24,45.51,1.77,2
119.4,1.32,36.21,1.47,2
176.92,1.92,12.59,1.76,1
165.46,1.28,17.45,1.85,2
185.35,0.93,21.14,1.75,1
101.09,1.21,42.88,2.75,1
186.96,0.39,38.01,2.33,1
187.05,1.7,33.42,2.66,2
172.3,0.43,6.65,1.67,2
158.47,0.3,22.66,2.8,2
96.07,1.0,9.07,1.85,1
159.52,1.7,41.29,2.31,1
170.86,0.28,12.17,2.22,1
